,자치구,읍면동명,사업체수
0,종로구,사직동,"3,489"
1,종로구,삼청동,751
2,종로구,부암동,575
3,종로구,평창동,708
4,종로구,무악동,573
5,종로구,교남동,302
6,종로구,가회동,770
7,종로구,종로1.2.3.4가동,"15,970"
8,종로구,종로5.6가동,"7,691"
9,종로구,이화동,"1,248"
10,종로구,창신1동,"2,273"
11,종로구,창신2동,872
12,종로구,창신3동,283
13,종로구,숭인1동,533
14,종로구,숭인2동,"1,881"
15,종로구,청운효자동,"1,009"
16,종로구,혜화동,"1,736"
17,중구,소공동,"3,929"
18,중구,회현동,"9,697"
19,중구,명동,"6,778"
20,중구,필동,"3,159"
21,중구,장충동,911
22,중구,광희동,"9,380"
23,중구,을지로동,"9,442"
24,중구,신당5동,"1,283"
25,중구,황학동,"1,963"
26,중구,중림동,"1,005"
27,중구,신당동,"12,117"
28,중구,다산동,"1,387"
29,중구,약수동,854
30,중구,청구동,765
31,중구,동화동,970
32,용산구,후암동,840
33,용산구,용산2가동,574
34,용산구,남영동,"1,673"
35,용산구,원효로2동,"1,190"
36,용산구,효창동,469
37,용산구,용문동,682
38,용산구,이촌1동,823
39,용산구,이촌2동,340
40,용산구,이태원1동,"1,714"
41,용산구,이태원2동,733
42,용산구,서빙고동,415
43,용산구,보광동,836
44,용산구,청파동,"1,915"
45,용산구,원효로1동,"1,843"
46,용산구,한강로동,"4,892"
47,용산구,한남동,"2,055"
48,성동구,왕십리2동,780
49,성동구,마장동,"3,238"
50,성동구,사근동,"1,088"
51,성동구,행당1동,"1,451"
52,성동구,행당2동,582
53,성동구,응봉동,375
54,성동구,금호1가동,535
55,성동구,금호4가동,617
56,성동구,성수1가1동,"1,546"
57,성동구,성수1가2동,"2,198"
58,성동구,성수2가1동,"2,626"
59,성동구,성수2가3동,"5,056"
60,성동구,송정동,695
61,성동구,용답동,"2,055"
62,성동구,왕십리도선동,"1,906"
63,성동구,금호2.3가동,"1,008"
64,성동구,옥수동,825
65,광진구,화양동,"2,474"
66,광진구,군자동,"1,609"
67,광진구,중곡1동,"1,639"
68,광진구,중곡2동,"1,660"
69,광진구,중곡3동,"1,347"
70,광진구,중곡4동,"1,545"
71,광진구,능동,758
72,광진구,구의1동,"1,900"
73,광진구,구의2동,"1,251"
74,광진구,구의3동,"2,636"
75,광진구,광장동,"1,402"
76,광진구,자양1동,"1,736"
77,광진구,자양2동,"1,524"
78,광진구,자양3동,"1,356"
79,광진구,자양4동,"2,058"
80,동대문구,회기동,988
81,동대문구,휘경1동,"1,027"
82,동대문구,휘경2동,"1,197"
83,동대문구,청량리동,"1,683"
84,동대문구,용신동,"5,820"
85,동대문구,제기동,"4,739"
86,동대문구,전농1동,"2,178"
87,동대문구,전농2동,875
88,동대문구,답십리1동,"2,242"
89,동대문구,답십리2동,"2,055"
90,동대문구,장안1동,"4,539"
91,동대문구,장안2동,"3,204"
92,동대문구,이문1동,"1,486"
93,동대문구,이문2동,729
94,중랑구,면목2동,"2,053"
95,중랑구,면목4동,"1,102"
96,중랑구,면목5동,873
97,중랑구,면목7동,"1,512"
98,중랑구,상봉1동,"1,124"
99,중랑구,상봉2동,"2,131"
100,중랑구,중화1동,"1,061"
101,중랑구,중화2동,"2,126"
102,중랑구,묵1동,"1,471"
103,중랑구,묵2동,"1,815"
104,중랑구,망우3동,"1,107"
105,중랑구,신내1동,"1,945"
106,중랑구,신내2동,"1,136"
107,중랑구,면목본동,"2,498"
108,중랑구,면목3.8동,"2,090"
109,중랑구,망우본동,"3,871"
110,성북구,돈암1동,394
111,성북구,돈암2동,398
112,성북구,안암동,"1,462"
113,성북구,보문동,"1,303"
114,성북구,정릉1동,732
115,성북구,정릉2동,900
116,성북구,정릉3동,667
117,성북구,정릉4동,929
118,성북구,길음1동,968
119,성북구,길음2동,"1,296"
120,성북구,월곡1동,"1,376"
121,성북구,월곡2동,"1,594"
122,성북구,장위1동,"1,028"
123,성북구,장위2동,"1,606"
124,성북구,장위3동,804
125,성북구,성북동,"1,107"
126,성북구,삼선동,"1,849"
127,성북구,동선동,"1,936"
128,성북구,종암동,"2,048"
129,성북구,석관동,"2,163"
130,강북구,번1동,"1,793"
131,강북구,번2동,656
132,강북구,번3동,860
133,강북구,수유1동,"1,449"
134,강북구,수유2동,"1,363"
135,강북구,수유3동,"2,399"
136,강북구,삼양동,"1,176"
137,강북구,미아동,"1,639"
138,강북구,송중동,"1,955"
139,강북구,송천동,"2,128"
140,강북구,삼각산동,781
141,강북구,우이동,993
142,강북구,인수동,"1,550"
143,도봉구,쌍문1동,928
144,도봉구,쌍문2동,"1,308"
145,도봉구,쌍문3동,975
146,도봉구,쌍문4동,616
147,도봉구,방학1동,"2,330"
148,도봉구,방학2동,"1,244"
149,도봉구,방학3동,871
150,도봉구,창1동,"1,404"
151,도봉구,창2동,"1,398"
152,도봉구,창3동,969
153,도봉구,창4동,"1,284"
154,도봉구,창5동,"2,219"
155,도봉구,도봉1동,"1,701"
156,도봉구,도봉2동,"1,439"
157,노원구,월계1동,"1,444"
158,노원구,월계2동,922
159,노원구,월계3동,965
160,노원구,공릉2동,"1,944"
161,노원구,하계1동,"1,023"
162,노원구,하계2동,387
163,노원구,중계본동,"1,184"
164,노원구,중계1동,951
165,노원구,중계4동,"1,044"
166,노원구,상계1동,"3,133"
167,노원구,상계2동,"2,459"
168,노원구,상계5동,"1,568"
169,노원구,상계8동,577
170,노원구,상계9동,721
171,노원구,상계10동,469
172,노원구,상계3.4동,"1,434"
173,노원구,상계6.7동,"1,910"
174,노원구,중계2.3동,"1,360"
175,노원구,공릉1동,"2,776"
176,은평구,녹번동,"1,900"
177,은평구,불광1동,"1,640"
178,은평구,갈현1동,"1,419"
179,은평구,갈현2동,"1,594"
180,은평구,구산동,"1,209"
181,은평구,대조동,"2,553"
182,은평구,응암1동,"1,680"
183,은평구,응암2동,610
184,은평구,신사1동,"1,290"
185,은평구,신사2동,"1,639"
186,은평구,증산동,"1,130"
187,은평구,수색동,727
188,은평구,진관동,"1,539"
189,은평구,불광2동,"1,347"
190,은평구,응암3동,"1,815"
191,은평구,역촌동,"2,523"
192,서대문구,천연동,922
193,서대문구,홍제1동,"1,119"
194,서대문구,홍제3동,"1,255"
195,서대문구,홍제2동,590
196,서대문구,홍은1동,981
197,서대문구,홍은2동,"1,168"
198,서대문구,남가좌1동,733
199,서대문구,남가좌2동,"1,308"
200,서대문구,북가좌1동,642
201,서대문구,북가좌2동,"2,330"
202,서대문구,충현동,"1,812"
203,서대문구,북아현동,790
204,서대문구,신촌동,"3,642"
205,서대문구,연희동,"2,248"
206,마포구,용강동,"2,608"
207,마포구,대흥동,"1,583"
208,마포구,염리동,720
209,마포구,신수동,"1,174"
210,마포구,서교동,"9,536"
211,마포구,합정동,"2,049"
212,마포구,망원1동,"1,771"
213,마포구,망원2동,"1,362"
214,마포구,연남동,"1,506"
215,마포구,성산1동,"1,539"
216,마포구,성산2동,"1,782"
217,마포구,상암동,"2,341"
218,마포구,도화동,"2,012"
219,마포구,서강동,"1,699"
220,마포구,공덕동,"2,764"
221,마포구,아현동,"1,745"
222,양천구,목1동,"2,943"
223,양천구,목2동,"1,139"
224,양천구,목3동,"1,242"
225,양천구,목4동,"1,326"
226,양천구,신월1동,"1,775"
227,양천구,신월2동,"1,239"
228,양천구,신월3동,958
229,양천구,신월4동,"1,164"
230,양천구,신월5동,"1,010"
231,양천구,신월6동,"1,460"
232,양천구,신월7동,"1,391"
233,양천구,신정1동,"1,099"
234,양천구,신정2동,"1,104"
235,양천구,신정3동,"1,882"
236,양천구,신정6동,738
237,양천구,신정7동,991
238,양천구,목5동,"1,525"
239,양천구,신정4동,"3,122"
240,강서구,염창동,"2,149"
241,강서구,등촌1동,"1,939"
242,강서구,등촌2동,735
243,강서구,등촌3동,"2,627"
244,강서구,화곡본동,"1,355"
245,강서구,화곡2동,852
246,강서구,화곡3동,"1,227"
247,강서구,화곡4동,"1,444"
248,강서구,화곡6동,"1,850"
249,강서구,화곡8동,"1,230"
250,강서구,가양1동,"1,809"
251,강서구,가양2동,640
252,강서구,가양3동,933
253,강서구,발산1동,"2,322"
254,강서구,공항동,"1,973"
255,강서구,방화1동,"2,879"
256,강서구,방화2동,"2,932"
257,강서구,방화3동,932
258,강서구,화곡1동,"3,126"
259,강서구,우장산동,"1,708"
260,구로구,신도림동,"2,835"
261,구로구,구로1동,626
262,구로구,구로3동,"6,881"
263,구로구,구로4동,"2,023"
264,구로구,구로5동,"4,857"
265,구로구,고척1동,"2,629"
266,구로구,고척2동,"1,427"
267,구로구,개봉2동,"1,133"
268,구로구,개봉3동,"1,012"
269,구로구,오류1동,"1,121"
270,구로구,오류2동,"1,573"
271,구로구,수궁동,"1,272"
272,구로구,가리봉동,976
273,구로구,구로2동,"7,912"
274,구로구,개봉1동,"1,756"
275,금천구,가산동,"13,752"
276,금천구,독산1동,"3,922"
277,금천구,독산2동,"1,178"
278,금천구,독산3동,"2,190"
279,금천구,독산4동,"1,011"
280,금천구,시흥1동,"2,986"
281,금천구,시흥2동,576
282,금천구,시흥3동,"3,340"
283,금천구,시흥4동,859
284,금천구,시흥5동,"1,173"
285,영등포구,여의동,"7,966"
286,영등포구,당산1동,"3,183"
287,영등포구,당산2동,"2,306"
288,영등포구,양평1동,"3,246"
289,영등포구,양평2동,"2,154"
290,영등포구,신길1동,"1,176"
291,영등포구,신길3동,985
292,영등포구,신길4동,491
293,영등포구,신길5동,655
294,영등포구,신길6동,"1,277"
295,영등포구,신길7동,533
296,영등포구,대림1동,"1,128"
297,영등포구,대림2동,"1,390"
298,영등포구,대림3동,"2,807"
299,영등포구,영등포본동,"1,470"
300,영등포구,영등포동,"6,524"
301,영등포구,도림동,984
302,영등포구,문래동,"5,403"
303,동작구,노량진2동,"1,554"
304,동작구,상도1동,"1,704"
305,동작구,상도2동,"1,287"
306,동작구,상도3동,946
307,동작구,상도4동,983
308,동작구,사당1동,"1,845"
309,동작구,사당3동,"1,005"
310,동작구,사당4동,684
311,동작구,사당5동,506
312,동작구,대방동,"1,660"
313,동작구,신대방1동,"1,060"
314,동작구,신대방2동,"1,219"
315,동작구,흑석동,"1,495"
316,동작구,노량진1동,"2,148"
317,동작구,사당2동,"1,651"
318,관악구,보라매동,"1,397"
319,관악구,청림동,443
320,관악구,행운동,"1,464"
321,관악구,낙성대동,"1,265"
322,관악구,중앙동,"1,086"
323,관악구,인헌동,"1,047"
324,관악구,남현동,874
325,관악구,서원동,"1,296"
326,관악구,신원동,851
327,관악구,서림동,"1,316"
328,관악구,신사동,"1,422"
329,관악구,신림동,"1,623"
330,관악구,난향동,420
331,관악구,조원동,"2,184"
332,관악구,대학동,"1,701"
333,관악구,은천동,"1,596"
334,관악구,성현동,880
335,관악구,청룡동,"1,866"
336,관악구,난곡동,959
337,관악구,삼성동,"1,062"
338,관악구,미성동,"1,625"
339,서초구,서초1동,"3,626"
340,서초구,서초2동,"4,406"
341,서초구,서초3동,"7,466"
342,서초구,서초4동,"2,916"
343,서초구,잠원동,"2,273"
344,서초구,반포본동,677
345,서초구,반포1동,"1,517"
346,서초구,반포2동,452
347,서초구,반포3동,922
348,서초구,반포4동,"3,594"
349,서초구,방배본동,"1,670"
350,서초구,방배1동,"1,767"
351,서초구,방배2동,"1,957"
352,서초구,방배3동,"1,222"
353,서초구,방배4동,"2,384"
354,서초구,양재1동,"3,631"
355,서초구,양재2동,"5,257"
356,서초구,내곡동,667
357,강남구,신사동,"4,503"
358,강남구,논현1동,"5,788"
359,강남구,논현2동,"5,656"
360,강남구,삼성1동,"4,330"
361,강남구,삼성2동,"3,734"
362,강남구,대치1동,"1,066"
363,강남구,대치4동,"3,716"
364,강남구,역삼1동,"15,079"
365,강남구,역삼2동,"3,416"
366,강남구,도곡1동,"1,614"
367,강남구,도곡2동,"1,926"
368,강남구,개포1동,503
369,강남구,개포4동,"2,221"
370,강남구,일원본동,564
371,강남구,일원1동,"1,870"
372,강남구,일원2동,636
373,강남구,수서동,"1,584"
374,강남구,세곡동,950
375,강남구,압구정동,"4,314"
376,강남구,청담동,"4,497"
377,강남구,대치2동,"3,468"
378,강남구,개포2동,846
379,송파구,풍납1동,770
380,송파구,풍납2동,"1,182"
381,송파구,거여1동,881
382,송파구,거여2동,951
383,송파구,마천1동,948
384,송파구,마천2동,"1,373"
385,송파구,방이1동,"1,326"
386,송파구,방이2동,"2,969"
387,송파구,오륜동,516
388,송파구,오금동,"2,427"
389,송파구,송파1동,"2,487"
390,송파구,송파2동,936
391,송파구,석촌동,"2,663"
392,송파구,삼전동,"2,050"
393,송파구,가락본동,"3,598"
394,송파구,가락1동,"2,865"
395,송파구,가락2동,"1,909"
396,송파구,문정1동,"1,381"
397,송파구,문정2동,"3,823"
398,송파구,장지동,"1,426"
399,송파구,위례동,329
400,송파구,잠실본동,"3,149"
401,송파구,잠실4동,503
402,송파구,잠실6동,"2,493"
403,송파구,잠실7동,199
404,송파구,잠실2동,821
405,송파구,잠실3동,"1,580"
406,강동구,강일동,946
407,강동구,상일동,"1,018"
408,강동구,명일1동,"1,681"
409,강동구,명일2동,"1,151"
410,강동구,고덕1동,610
411,강동구,고덕2동,"1,786"
412,강동구,암사2동,864
413,강동구,암사3동,609
414,강동구,천호1동,"1,529"
415,강동구,천호3동,"1,863"
416,강동구,성내1동,"2,105"
417,강동구,성내2동,"1,978"
418,강동구,성내3동,"2,461"
419,강동구,둔촌1동,408
420,강동구,둔촌2동,"1,637"
421,강동구,암사1동,"1,927"
422,강동구,천호2동,"3,707"
423,강동구,길동,"3,988"
