,자치구,읍면동명,금융기관
0,종로구,소계,130
1,종로구,사직동,21
2,종로구,삼청동,5
3,종로구,부암동,2
4,종로구,평창동,5
5,종로구,무악동,1
6,종로구,교남동,1
7,종로구,가회동,3
8,종로구,종로1.2.3.4가동,54
9,종로구,종로5.6가동,11
10,종로구,이화동,7
11,종로구,창신1동,5
12,종로구,창신2동,1
13,종로구,숭인1동,1
14,종로구,숭인2동,4
15,종로구,청운효자동,4
16,종로구,혜화동,5
17,중구,소계,201
18,중구,소공동,37
19,중구,회현동,25
20,중구,명동,75
21,중구,필동,7
22,중구,장충동,5
23,중구,광희동,16
24,중구,을지로동,11
25,중구,신당5동,2
26,중구,황학동,5
27,중구,중림동,2
28,중구,신당동,7
29,중구,다산동,4
30,중구,약수동,2
31,중구,청구동,1
32,중구,동화동,2
33,용산구,소계,84
34,용산구,후암동,1
35,용산구,용산2가동,1
36,용산구,남영동,9
37,용산구,원효로2동,5
38,용산구,효창동,1
39,용산구,이촌1동,12
40,용산구,이촌2동,4
41,용산구,이태원1동,7
42,용산구,이태원2동,1
43,용산구,서빙고동,2
44,용산구,보광동,2
45,용산구,청파동,4
46,용산구,원효로1동,3
47,용산구,한강로동,20
48,용산구,한남동,12
49,성동구,소계,60
50,성동구,왕십리2동,1
51,성동구,마장동,5
52,성동구,사근동,5
53,성동구,행당1동,5
54,성동구,행당2동,3
55,성동구,응봉동,1
56,성동구,금호1가동,1
57,성동구,금호4가동,3
58,성동구,성수1가1동,2
59,성동구,성수1가2동,5
60,성동구,성수2가1동,3
61,성동구,성수2가3동,15
62,성동구,용답동,3
63,성동구,왕십리도선동,3
64,성동구,금호2.3가동,2
65,성동구,옥수동,3
66,광진구,소계,59
67,광진구,화양동,7
68,광진구,군자동,6
69,광진구,중곡1동,2
70,광진구,중곡2동,4
71,광진구,중곡3동,1
72,광진구,중곡4동,2
73,광진구,구의1동,4
74,광진구,구의2동,2
75,광진구,구의3동,8
76,광진구,광장동,9
77,광진구,자양1동,4
78,광진구,자양2동,2
79,광진구,자양3동,6
80,광진구,자양4동,2
81,동대문구,소계,65
82,동대문구,회기동,6
83,동대문구,휘경1동,2
84,동대문구,휘경2동,2
85,동대문구,청량리동,5
86,동대문구,용신동,12
87,동대문구,제기동,9
88,동대문구,전농1동,2
89,동대문구,전농2동,4
90,동대문구,답십리1동,7
91,동대문구,답십리2동,1
92,동대문구,장안1동,10
93,동대문구,장안2동,3
94,동대문구,이문1동,2
95,중랑구,소계,34
96,중랑구,면목2동,1
97,중랑구,면목5동,2
98,중랑구,면목7동,2
99,중랑구,상봉2동,4
100,중랑구,중화1동,1
101,중랑구,중화2동,4
102,중랑구,묵1동,3
103,중랑구,묵2동,2
104,중랑구,망우3동,1
105,중랑구,신내1동,2
106,중랑구,신내2동,3
107,중랑구,면목본동,3
108,중랑구,면목3.8동,1
109,중랑구,망우본동,5
110,성북구,소계,65
111,성북구,돈암2동,4
112,성북구,안암동,6
113,성북구,보문동,4
114,성북구,정릉2동,3
115,성북구,정릉3동,1
116,성북구,정릉4동,4
117,성북구,길음1동,6
118,성북구,길음2동,2
119,성북구,월곡1동,5
120,성북구,월곡2동,5
121,성북구,장위1동,1
122,성북구,장위2동,3
123,성북구,성북동,4
124,성북구,삼선동,8
125,성북구,동선동,3
126,성북구,종암동,2
127,성북구,석관동,4
128,강북구,소계,33
129,강북구,번1동,3
130,강북구,번3동,1
131,강북구,수유1동,2
132,강북구,수유2동,1
133,강북구,수유3동,8
134,강북구,삼양동,2
135,강북구,미아동,2
136,강북구,송중동,2
137,강북구,송천동,6
138,강북구,삼각산동,3
139,강북구,우이동,2
140,강북구,인수동,1
141,도봉구,소계,34
142,도봉구,쌍문1동,2
143,도봉구,쌍문2동,1
144,도봉구,쌍문3동,2
145,도봉구,쌍문4동,2
146,도봉구,방학1동,6
147,도봉구,방학3동,3
148,도봉구,창1동,3
149,도봉구,창2동,1
150,도봉구,창4동,4
151,도봉구,창5동,5
152,도봉구,도봉1동,2
153,도봉구,도봉2동,3
154,노원구,소계,62
155,노원구,월계1동,2
156,노원구,월계3동,3
157,노원구,공릉2동,6
158,노원구,하계1동,5
159,노원구,하계2동,1
160,노원구,중계본동,2
161,노원구,중계1동,3
162,노원구,중계4동,3
163,노원구,상계1동,2
164,노원구,상계2동,2
165,노원구,상계5동,1
166,노원구,상계8동,3
167,노원구,상계9동,4
168,노원구,상계10동,1
169,노원구,상계3.4동,1
170,노원구,상계6.7동,14
171,노원구,중계2.3동,2
172,노원구,공릉1동,7
173,은평구,소계,46
174,은평구,녹번동,2
175,은평구,불광1동,5
176,은평구,갈현1동,3
177,은평구,갈현2동,3
178,은평구,대조동,5
179,은평구,응암1동,7
180,은평구,신사1동,2
181,은평구,수색동,3
182,은평구,진관동,6
183,은평구,불광2동,2
184,은평구,응암3동,4
185,은평구,역촌동,4
186,서대문구,소계,55
187,서대문구,천연동,1
188,서대문구,홍제1동,2
189,서대문구,홍제3동,3
190,서대문구,홍제2동,1
191,서대문구,홍은1동,1
192,서대문구,홍은2동,4
193,서대문구,남가좌1동,3
194,서대문구,남가좌2동,4
195,서대문구,북가좌1동,2
196,서대문구,북가좌2동,4
197,서대문구,충현동,7
198,서대문구,북아현동,2
199,서대문구,신촌동,13
200,서대문구,연희동,8
201,마포구,소계,97
202,마포구,용강동,9
203,마포구,대흥동,6
204,마포구,신수동,1
205,마포구,서교동,23
206,마포구,합정동,4
207,마포구,망원1동,2
208,마포구,망원2동,3
209,마포구,연남동,1
210,마포구,성산1동,2
211,마포구,성산2동,4
212,마포구,상암동,12
213,마포구,도화동,8
214,마포구,서강동,4
215,마포구,공덕동,10
216,마포구,아현동,8
217,양천구,소계,68
218,양천구,목1동,14
219,양천구,목2동,2
220,양천구,목3동,4
221,양천구,목4동,3
222,양천구,신월1동,3
223,양천구,신월2동,2
224,양천구,신월3동,1
225,양천구,신월4동,1
226,양천구,신월5동,1
227,양천구,신월6동,2
228,양천구,신월7동,2
229,양천구,신정1동,5
230,양천구,신정2동,1
231,양천구,신정3동,1
232,양천구,신정6동,7
233,양천구,신정7동,2
234,양천구,목5동,9
235,양천구,신정4동,8
236,강서구,소계,72
237,강서구,염창동,4
238,강서구,등촌1동,4
239,강서구,등촌2동,1
240,강서구,등촌3동,7
241,강서구,화곡본동,2
242,강서구,화곡3동,3
243,강서구,화곡4동,3
244,강서구,화곡6동,5
245,강서구,화곡8동,3
246,강서구,가양1동,3
247,강서구,가양2동,3
248,강서구,발산1동,7
249,강서구,공항동,8
250,강서구,방화1동,4
251,강서구,방화2동,3
252,강서구,방화3동,2
253,강서구,화곡1동,3
254,강서구,우장산동,7
255,구로구,소계,70
256,구로구,신도림동,5
257,구로구,구로1동,2
258,구로구,구로3동,19
259,구로구,구로4동,5
260,구로구,구로5동,6
261,구로구,고척1동,4
262,구로구,고척2동,2
263,구로구,개봉2동,3
264,구로구,개봉3동,2
265,구로구,오류1동,4
266,구로구,오류2동,1
267,구로구,수궁동,1
268,구로구,가리봉동,1
269,구로구,구로2동,12
270,구로구,개봉1동,3
271,금천구,소계,61
272,금천구,가산동,30
273,금천구,독산1동,7
274,금천구,독산2동,2
275,금천구,독산3동,3
276,금천구,독산4동,2
277,금천구,시흥1동,9
278,금천구,시흥2동,1
279,금천구,시흥3동,5
280,금천구,시흥4동,1
281,금천구,시흥5동,1
282,영등포구,소계,135
283,영등포구,여의동,67
284,영등포구,당산1동,6
285,영등포구,당산2동,6
286,영등포구,양평1동,3
287,영등포구,양평2동,3
288,영등포구,신길1동,2
289,영등포구,신길3동,5
290,영등포구,신길4동,1
291,영등포구,신길6동,1
292,영등포구,대림1동,4
293,영등포구,대림2동,1
294,영등포구,대림3동,7
295,영등포구,영등포동,19
296,영등포구,도림동,1
297,영등포구,문래동,9
298,동작구,소계,57
299,동작구,노량진2동,4
300,동작구,상도1동,5
301,동작구,상도2동,4
302,동작구,상도3동,3
303,동작구,상도4동,1
304,동작구,사당1동,10
305,동작구,사당3동,1
306,동작구,사당4동,1
307,동작구,대방동,5
308,동작구,신대방1동,3
309,동작구,신대방2동,7
310,동작구,흑석동,6
311,동작구,노량진1동,5
312,동작구,사당2동,2
313,관악구,소계,48
314,관악구,보라매동,2
315,관악구,행운동,5
316,관악구,낙성대동,3
317,관악구,중앙동,3
318,관악구,인헌동,5
319,관악구,남현동,1
320,관악구,서원동,2
321,관악구,신원동,1
322,관악구,서림동,1
323,관악구,신사동,2
324,관악구,신림동,2
325,관악구,조원동,2
326,관악구,대학동,6
327,관악구,은천동,1
328,관악구,청룡동,7
329,관악구,난곡동,1
330,관악구,미성동,4
331,서초구,소계,210
332,서초구,서초1동,13
333,서초구,서초2동,31
334,서초구,서초3동,32
335,서초구,서초4동,17
336,서초구,잠원동,11
337,서초구,반포본동,5
338,서초구,반포1동,11
339,서초구,반포2동,6
340,서초구,반포3동,5
341,서초구,반포4동,19
342,서초구,방배본동,6
343,서초구,방배1동,5
344,서초구,방배2동,2
345,서초구,방배3동,4
346,서초구,방배4동,13
347,서초구,양재1동,14
348,서초구,양재2동,15
349,서초구,내곡동,1
350,강남구,소계,331
351,강남구,신사동,13
352,강남구,논현1동,18
353,강남구,논현2동,23
354,강남구,삼성1동,29
355,강남구,삼성2동,17
356,강남구,대치1동,15
357,강남구,대치4동,15
358,강남구,역삼1동,54
359,강남구,역삼2동,15
360,강남구,도곡1동,11
361,강남구,도곡2동,22
362,강남구,개포1동,2
363,강남구,개포4동,4
364,강남구,일원본동,5
365,강남구,일원1동,3
366,강남구,일원2동,3
367,강남구,수서동,4
368,강남구,세곡동,1
369,강남구,압구정동,32
370,강남구,청담동,21
371,강남구,대치2동,21
372,강남구,개포2동,3
373,송파구,소계,149
374,송파구,풍납1동,1
375,송파구,풍납2동,5
376,송파구,거여2동,3
377,송파구,마천1동,1
378,송파구,마천2동,2
379,송파구,방이1동,2
380,송파구,방이2동,6
381,송파구,오륜동,6
382,송파구,오금동,6
383,송파구,송파1동,7
384,송파구,송파2동,2
385,송파구,석촌동,8
386,송파구,삼전동,4
387,송파구,가락본동,10
388,송파구,가락1동,5
389,송파구,가락2동,6
390,송파구,문정1동,3
391,송파구,문정2동,12
392,송파구,장지동,3
393,송파구,위례동,3
394,송파구,잠실본동,9
395,송파구,잠실4동,4
396,송파구,잠실6동,18
397,송파구,잠실7동,4
398,송파구,잠실2동,8
399,송파구,잠실3동,11
400,강동구,소계,68
401,강동구,강일동,5
402,강동구,상일동,2
403,강동구,명일1동,7
404,강동구,명일2동,7
405,강동구,암사2동,3
406,강동구,암사3동,1
407,강동구,천호1동,1
408,강동구,천호3동,3
409,강동구,성내1동,6
410,강동구,성내2동,4
411,강동구,성내3동,5
412,강동구,둔촌1동,2
413,강동구,둔촌2동,6
414,강동구,암사1동,3
415,강동구,천호2동,4
416,강동구,길동,9
