읍면동명,자치구,소득(동별)
신사동,강남구,1925266.7299683262
신사동,관악구,269594.90798399085
논현1동,강남구,2601180.3234719317
논현2동,강남구,2403661.044814341
압구정동,강남구,3033472.24031269
청담동,강남구,3291842.314441674
역삼1동,강남구,4072414.9062605295
역삼2동,강남구,4065204.578610419
삼성1동,강남구,1630845.0175887863
삼성2동,강남구,3316969.213828425
대치1동,강남구,2769312.0545858885
대치2동,강남구,4244588.790754094
대치4동,강남구,2287312.5759148197
도곡1동,강남구,2470957.4362153783
도곡2동,강남구,3756471.4583192943
개포1동,강남구,767790.647348204
개포2동,강남구,2175661.7447267342
개포4동,강남구,2019437.9789743244
일원본동,강남구,2673174.352584406
일원1동,강남구,1808699.7662915287
일원2동,강남구,1984151.072444235
수서동,강남구,1755059.2984702468
세곡동,강남구,4928040.454073725
강일동,강동구,558368.371528052
상일동,강동구,188721.16285114348
명일1동,강동구,452047.8041354449
명일2동,강동구,310425.0142849843
고덕1동,강동구,471397.6300258757
고덕2동,강동구,127946.84338779436
암사1동,강동구,637664.7168437386
암사2동,강동구,251047.60738591762
암사3동,강동구,324583.84410320496
길동,강동구,805725.3704108037
천호1동,강동구,493627.5102155058
천호2동,강동구,622195.2036318701
천호3동,강동구,487953.6307877414
성내1동,강동구,356091.98305313085
성내2동,강동구,436319.6034116724
성내3동,강동구,413744.8065395032
둔촌1동,강동구,4949.554394432806
둔촌2동,강동구,481900.34300918423
번1동,강북구,176419.7318128195
번2동,강북구,154090.1488006292
수유1동,강북구,195526.30483680693
수유2동,강북구,196060.50538733785
수유3동,강북구,216146.44608729845
우이동,강북구,190540.4330318521
인수동,강북구,292145.37774282345
삼양동,강북구,229492.55650806136
미아동,강북구,204661.13425088482
송중동,강북구,258196.9327565868
송천동,강북구,257404.5352732993
삼각산동,강북구,294700.6370428628
번3동,강북구,164765.2564687377
화곡1동,강서구,978373.0329868052
화곡2동,강서구,351674.6578035453
화곡3동,강서구,406121.1591363455
화곡8동,강서구,475811.9651472744
우장산동,강서구,810614.112021858
발산1동,강서구,689912.1409436226
염창동,강서구,760032.3639877382
등촌1동,강서구,424407.16779954685
등촌2동,강서구,392236.675063308
화곡본동,강서구,645270.661868586
화곡4동,강서구,396763.4462881513
화곡6동,강서구,446056.9432227109
가양3동,강서구,291234.2103825137
등촌3동,강서구,585349.0933626549
가양1동,강서구,611901.3799147008
가양2동,강서구,273771.2510329201
공항동,강서구,506998.37718246033
방화1동,강서구,820311.7800213249
방화2동,강서구,433049.1855924297
방화3동,강서구,439830.39624150336
보라매동,관악구,275025.7598821432
은천동,관악구,365886.900652559
성현동,관악구,333095.68482728244
중앙동,관악구,162637.01073366244
청림동,관악구,168294.57751181355
행운동,관악구,312000.8957655788
청룡동,관악구,346327.589641756
낙성대동,관악구,182773.4141662804
인헌동,관악구,280302.03345302364
남현동,관악구,196128.9816425716
신림동,관악구,232630.07732237337
조원동,관악구,202714.01838435399
미성동,관악구,339340.6492490668
난곡동,관악구,300634.23610018595
난향동,관악구,169376.6258027168
서원동,관악구,248304.3197077428
신원동,관악구,204991.47240615977
서림동,관악구,252323.35621681192
삼성동,관악구,262309.1161585759
대학동,관악구,253539.37239135074
중곡1동,광진구,266146.5004058783
중곡2동,광진구,366883.4370698572
중곡3동,광진구,283522.2037210489
중곡4동,광진구,495353.4225885535
능동,광진구,192348.3873518001
구의2동,광진구,454361.67474893905
광장동,광진구,586429.9868870083
군자동,광진구,358892.5585862946
구의1동,광진구,374841.8981964885
구의3동,광진구,489161.70741467725
자양1동,광진구,392720.0705440942
자양2동,광진구,439368.6471682182
자양3동,광진구,479404.08297835954
자양4동,광진구,378764.3983851744
화양동,광진구,412057.0239536077
고척1동,구로구,660824.2226599978
고척2동,구로구,789382.0490417187
개봉1동,구로구,929691.2467727634
개봉2동,구로구,909316.7626509038
개봉3동,구로구,603237.0625986131
오류1동,구로구,626331.7715698534
오류2동,구로구,1402738.3480800274
수궁동,구로구,680056.2123451176
신도림동,구로구,1017146.4756803457
구로1동,구로구,601713.7366829601
구로2동,구로구,965162.9788086849
구로3동,구로구,719771.4951460727
구로4동,구로구,720968.3940797999
구로5동,구로구,916443.7517562804
가리봉동,구로구,422124.49212686147
가산동,금천구,1453629.0086131894
독산1동,금천구,2582970.041879557
독산2동,금천구,1281842.4233196771
독산3동,금천구,1789191.4057927455
독산4동,금천구,1094449.6646471675
시흥1동,금천구,2197562.8323868583
시흥2동,금천구,1349073.580880143
시흥3동,금천구,688214.4442950472
시흥4동,금천구,1320056.77942642
시흥5동,금천구,1247959.8187591946
월계1동,노원구,235740.04692597105
월계2동,노원구,256966.84785737703
월계3동,노원구,312803.6290603136
공릉1동,노원구,384886.51148419216
공릉2동,노원구,403789.6395191809
상계1동,노원구,395700.9047531719
상계2동,노원구,209405.08743324282
상계3.4동,노원구,254388.2572592432
상계5동,노원구,252015.5617278805
상계8동,노원구,236151.8370595133
상계9동,노원구,215719.20281422453
상계10동,노원구,164088.56368961278
하계1동,노원구,292312.16765309015
하계2동,노원구,230327.94802798665
중계본동,노원구,256496.23056190016
중계1동,노원구,276017.0437972025
중계2.3동,노원구,363826.3875116009
중계4동,노원구,210601.2397259132
상계6.7동,노원구,341530.8931383827
쌍문1동,도봉구,187971.40745392395
쌍문3동,도봉구,144558.08922848155
창1동,도봉구,220596.0613577256
창2동,도봉구,256349.67823184055
창3동,도봉구,124516.03841596712
창4동,도봉구,233912.9277593796
창5동,도봉구,215823.3498403408
쌍문2동,도봉구,167987.76395018867
쌍문4동,도봉구,166427.45441565904
방학1동,도봉구,253187.3396565105
방학2동,도봉구,177458.09187367075
방학3동,도봉구,240688.1755777649
도봉1동,도봉구,187162.04903226948
도봉2동,도봉구,240212.5732062773
용신동,동대문구,633040.307400922
제기동,동대문구,545346.6683343459
청량리동,동대문구,434915.44830790133
회기동,동대문구,263238.8170675053
휘경1동,동대문구,326398.76417825103
휘경2동,동대문구,496910.8838937928
이문1동,동대문구,446501.35110602865
이문2동,동대문구,419875.48590215493
전농1동,동대문구,613756.7860486724
전농2동,동대문구,401480.1513061503
답십리1동,동대문구,590920.5176714434
답십리2동,동대문구,600789.2594074975
장안1동,동대문구,776689.7121109245
장안2동,동대문구,630217.8472644106
노량진1동,동작구,411804.1804515125
노량진2동,동작구,176251.1282403584
상도2동,동작구,371296.9876561256
상도3동,동작구,329804.5871781567
상도4동,동작구,380277.53460889135
대방동,동작구,508316.6407413633
신대방1동,동작구,337837.8190515168
신대방2동,동작구,261787.36447682872
상도1동,동작구,610980.3336134885
흑석동,동작구,448168.44863296533
사당1동,동작구,304896.51602364995
사당2동,동작구,359613.43501012214
사당3동,동작구,331888.68035284925
사당4동,동작구,188225.1908440462
사당5동,동작구,163658.15311812554
공덕동,마포구,1722207.5102734664
아현동,마포구,1076978.8166725016
도화동,마포구,961268.5960477692
용강동,마포구,950240.4958415995
대흥동,마포구,584319.6478468899
염리동,마포구,574012.6157311238
신수동,마포구,954948.6463142334
서강동,마포구,1112989.8054226476
서교동,마포구,1107221.2606994202
합정동,마포구,813322.3902050025
망원1동,마포구,932934.861671918
망원2동,마포구,817351.8883572569
연남동,마포구,723231.2946746022
성산1동,마포구,860531.142241413
성산2동,마포구,1765471.59569767
상암동,마포구,1398702.4323024857
충현동,서대문구,419462.37561904296
천연동,서대문구,432362.18883701705
북아현동,서대문구,404860.98276090826
신촌동,서대문구,570489.0658430246
연희동,서대문구,950999.0642940672
홍제1동,서대문구,575892.7309165075
홍제2동,서대문구,336383.89940417605
홍제3동,서대문구,380188.07797858
홍은1동,서대문구,523304.7223077611
홍은2동,서대문구,653084.6613491973
남가좌1동,서대문구,391570.2661120865
남가좌2동,서대문구,591620.8454282619
북가좌1동,서대문구,441215.0018297442
북가좌2동,서대문구,780772.1173196251
잠원동,서초구,2368457.4332258105
반포본동,서초구,820317.1598040701
반포1동,서초구,2245538.605546595
반포2동,서초구,1109996.315442795
반포3동,서초구,1377178.7506903952
반포4동,서초구,1373519.6455665377
방배본동,서초구,1454900.8539693698
방배1동,서초구,1189819.016107688
방배4동,서초구,1645106.5592039663
서초1동,서초구,1470960.2597907446
서초2동,서초구,1265440.5220007442
서초3동,서초구,2105137.3867200604
서초4동,서초구,2160633.8144319
방배2동,서초구,1432133.088754256
방배3동,서초구,1523881.761674685
양재1동,서초구,3118506.2224106165
양재2동,서초구,1575448.0394386775
내곡동,서초구,1256631.565221087
성북동,성북구,203018.04300462
삼선동,성북구,305589.7756708668
동선동,성북구,189105.14333405264
돈암2동,성북구,288092.379966264
안암동,성북구,205384.72948863055
보문동,성북구,193459.38691385865
정릉1동,성북구,223847.18181778144
정릉2동,성북구,275431.75615374115
정릉3동,성북구,199766.72128144035
정릉4동,성북구,309024.9177034841
길음1동,성북구,428106.011911106
돈암1동,성북구,184371.77036603141
길음2동,성북구,190081.68872794046
종암동,성북구,487020.42108589475
월곡1동,성북구,318215.93317537004
월곡2동,성북구,236335.4740902064
장위1동,성북구,239621.2621214057
장위2동,성북구,163220.94601135398
장위3동,성북구,157511.02764944485
석관동,성북구,420006.4295265066
풍납1동,송파구,504675.5765031315
풍납2동,송파구,796125.1592897078
방이1동,송파구,530975.1637860239
방이2동,송파구,842647.7788475871
오륜동,송파구,608202.0692304096
송파1동,송파구,840815.167019806
송파2동,송파구,671604.0082546929
잠실4동,송파구,719251.9157769991
잠실6동,송파구,563351.3060768218
거여1동,송파구,426741.3471953918
거여2동,송파구,548079.5408453132
마천1동,송파구,669803.5475116097
마천2동,송파구,653149.285638091
오금동,송파구,1316876.2781417954
가락본동,송파구,897336.7739187359
가락2동,송파구,1090404.0375297002
문정1동,송파구,687390.1908413678
장지동,송파구,1096769.9522998868
위례동,송파구,909586.3371886407
석촌동,송파구,1102074.8812750424
삼전동,송파구,1055295.05303958
가락1동,송파구,874734.5613761038
문정2동,송파구,965754.2821558936
잠실본동,송파구,954244.1938340412
잠실2동,송파구,1184863.9243721669
잠실3동,송파구,1162100.956406045
잠실7동,송파구,329355.711645415
목1동,양천구,416833.9076996364
목2동,양천구,408915.4783857944
목3동,양천구,300445.97781782213
목4동,양천구,351175.84955305856
목5동,양천구,557444.4426628097
신정1동,양천구,280104.70120341174
신정2동,양천구,268876.1088157507
신정6동,양천구,328303.27176455123
신정7동,양천구,401503.309306772
신월1동,양천구,285271.151804902
신월2동,양천구,291125.5970844802
신월3동,양천구,218652.49731533352
신월4동,양천구,247470.38760505329
신월5동,양천구,202906.5059092839
신월6동,양천구,86583.48118577978
신월7동,양천구,283025.4333273698
신정3동,양천구,629151.6615638963
신정4동,양천구,464513.2369942944
영등포본동,영등포구,1719939.30431477
영등포동,영등포구,1868607.4742023163
당산1동,영등포구,1480418.3639403891
당산2동,영등포구,2494183.8612893126
도림동,영등포구,1498933.057319903
문래동,영등포구,2199807.1193406843
양평1동,영등포구,1256177.2076933398
양평2동,영등포구,1575194.3222437003
신길3동,영등포구,1287287.3987994376
여의동,영등포구,2379791.9639036166
신길1동,영등포구,1357973.6073524514
신길4동,영등포구,693922.4485214099
신길5동,영등포구,747332.8651106395
신길6동,영등포구,1348544.1910216212
신길7동,영등포구,1176405.7220916422
대림1동,영등포구,1135590.8032289965
대림2동,영등포구,1493908.6238005557
대림3동,영등포구,1987679.6658252128
후암동,용산구,780401.8045953085
용산2가동,용산구,497812.78644347296
남영동,용산구,358537.97255386977
청파동,용산구,871624.703843846
원효로1동,용산구,693049.9877872068
원효로2동,용산구,621855.7324696211
효창동,용산구,428301.610447816
용문동,용산구,532231.7585769157
한강로동,용산구,820669.4773724534
이촌1동,용산구,1230793.831143439
이촌2동,용산구,379744.7720101719
이태원1동,용산구,382311.4679761132
이태원2동,용산구,454936.34071733843
한남동,용산구,993016.7999379564
서빙고동,용산구,594211.1546069415
보광동,용산구,668897.7995175293
녹번동,은평구,308447.18872632197
응암1동,은평구,208123.84737503575
응암2동,은평구,193048.26671109657
응암3동,은평구,211729.05326035307
증산동,은평구,131387.92928239526
수색동,은평구,73510.63300689691
신사1동,은평구,231654.6866848089
신사2동,은평구,177819.10104307433
역촌동,은평구,395141.8818205567
갈현2동,은평구,244402.24202370012
구산동,은평구,273567.22595694003
갈현1동,은평구,200210.1779541261
진관동,은평구,469145.6035247728
불광1동,은평구,331808.2761894771
불광2동,은평구,239075.2674083993
대조동,은평구,240756.61903204516
청운효자동,종로구,2253477.740083508
사직동,종로구,1669880.3727127598
삼청동,종로구,518695.8312354169
부암동,종로구,1811906.2807012158
평창동,종로구,3241633.7544516763
무악동,종로구,1505474.6246776376
교남동,종로구,1855633.0451000857
가회동,종로구,772448.7868414589
종로1.2.3.4가동,종로구,1485677.0738671252
종로5·6가동,종로구,984196.5042060666
이화동,종로구,1474659.3064595358
혜화동,종로구,3606252.994596586
창신1동,종로구,1049786.650804372
창신2동,종로구,1691399.4496807074
창신3동,종로구,1260501.452474518
숭인1동,종로구,1138445.2479123173
숭인2동,종로구,1716705.8841950141
응봉동,중구,547538.9966269395
성수1가1동,중구,584754.6432426354
성수1가2동,중구,508939.9941533618
성수2가1동,중구,606618.4138745221
성수2가3동,중구,395606.03496739385
왕십리도선동,중구,940614.5025860128
왕십리2동,중구,605741.1638183044
행당1동,중구,562081.1033280864
행당2동,중구,835007.0919721159
마장동,중구,814391.7156510006
사근동,중구,459881.47177872725
송정동,중구,389566.5057342029
용답동,중구,457924.5293456262
소공동,중구,1084081.9191368548
회현동,중구,2087703.2426333388
명동,중구,1245003.1104175963
필동,중구,1799326.7715328946
장충동,중구,2003682.4436460487
광희동,중구,2214802.502118349
을지로동,중구,712752.7100531965
신당동,중구,3323805.8446836383
다산동,중구,5367006.545480489
약수동,중구,6322921.1441282565
청구동,중구,5196116.784828373
신당5동,중구,3861396.550068417
동화동,중구,3939008.983031252
황학동,중구,4866441.954903668
중림동,중구,4630756.493337627
금호1가동,중구,538968.9383854284
금호2.3가동,중구,819857.6583089724
금호4가동,중구,515654.3311221048
옥수동,중구,919897.905104565
면목본동,중랑구,360261.1176444365
면목2동,중랑구,259966.06044935805
면목3.8동,중랑구,265661.1419846648
면목4동,중랑구,201136.76270506426
면목5동,중랑구,98158.15923680457
면목7동,중랑구,217794.62771932952
상봉2동,중랑구,196077.78102710415
망우3동,중랑구,179151.56138552068
상봉1동,중랑구,254728.1756865193
중화1동,중랑구,208730.2047521398
중화2동,중랑구,278234.05322753213
묵1동,중랑구,358432.33055456495
묵2동,중랑구,199715.47708630527
망우본동,중랑구,310605.5725303138
신내1동,중랑구,404897.4373216833
신내2동,중랑구,219603.53668865905
